date,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2014-03-31,205989000000,70541000000,18949000000,41350000000,1829000000,9700000000,244687000000,15120000000,15286000000,5983000000,3928000000,2055000000,150589000000,109239000000,22401000000,7528000000,5106000000,85810000000,43208000000,18914000000,None,None,None,45111000000,None,16962000000,None,16200000000,16962000000,15984000000,22476000000,120179000000,None,98934000000,21496000000,861745000,17947000000,45561000000,30631000000,27699000000,13593000000,2932000000,1422000000,4354000000,410000000,-85000000,None,85000000,None,-100000000,None,1887000000,13818000000,3595000000,85000000,10223000000,10278000000,13903000000,15480000000,10223000000,2014-04-23,0.415,0.365,0.05,13.6986
2014-06-30,222520000000,67949000000,12977000000,37805000000,1594000000,16841000000,281256000000,17585000000,16868000000,6141000000,3767000000,2374000000,164490000000,126685000000,24828000000,7825000000,4160000000,101580000000,46205000000,20535000000,None,2010000000,2010000000,49632000000,None,29030000000,None,28500000000,31040000000,15264000000,23287000000,120940000000,None,98715000000,22139000000,5989171000,14735000000,37332000000,25547000000,22697000000,10282000000,2850000000,1603000000,4453000000,439000000,-100000000,None,100000000,None,-137000000,None,1946000000,10484000000,2736000000,100000000,7748000000,8085000000,10584000000,12228000000,7748000000,2014-07-22,0.32,0.3075,0.0125,4.065
2014-09-30,231839000000,68531000000,13844000000,25077000000,2111000000,27219000000,293470000000,20624000000,18391000000,8758000000,4142000000,4616000000,155239000000,130162000000,11233000000,9806000000,3764000000,120292000000,63448000000,30196000000,None,6308000000,6308000000,52683000000,None,28987000000,0,28987000000,35295000000,18453000000,24826000000,111547000000,None,87152000000,23313000000,5866161000,16009000000,42123000000,36172000000,26114000000,11165000000,3158000000,1686000000,4844000000,519000000,-115000000,None,115000000,None,-97000000,None,1969000000,11472000000,3005000000,115000000,16009000000,9463000000,11587000000,13134000000,8467000000,2014-10-20,0.355,0.3275,0.0275,8.3969
2014-12-31,261894000000,83403000000,19478000000,32463000000,2283000000,29976000000,323983000000,20392000000,20355000000,8999000000,4370000000,4629000000,177955000000,145492000000,12985000000,13635000000,3608000000,138566000000,73611000000,38001000000,None,3899000000,3899000000,61422000000,None,32504000000,None,32400000000,36403000000,22724000000,28971000000,123328000000,None,97178000000,24187000000,5826419000,29741000000,74468000000,48458000000,44858000000,24246000000,3600000000,1895000000,5495000000,654000000,-131000000,None,131000000,None,-353000000,None,2575000000,24416000000,6392000000,131000000,18024000000,18905000000,24547000000,26821000000,18024000000,2015-01-27,0.765,0.65,0.115,17.6923
2015-03-31,261194000000,67891000000,14489000000,33096000000,2396000000,18164000000,353746000000,20151000000,22309000000,8772000000,4061000000,4711000000,193539000000,160443000000,18607000000,9094000000,3937000000,132188000000,58729000000,23159000000,None,3799000000,3799000000,63203000000,None,40072000000,None,40200000000,43871000000,22827000000,29816000000,129006000000,None,100920000000,25376000000,5762278000,23656000000,57847000000,37814000000,34354000000,18278000000,3460000000,1918000000,5378000000,675000000,-163000000,None,163000000,None,-226000000,None,2479000000,18564000000,4995000000,163000000,13569000000,14316000000,18727000000,20757000000,13569000000,2015-04-27,0.5825,0.54,0.0425,7.8704
2015-06-30,273151000000,70953000000,15319000000,34703000000,2042000000,19907000000,370343000000,21149000000,24395000000,8823000000,3779000000,5044000000,202848000000,168145000000,19384000000,9291000000,4081000000,147474000000,65285000000,26474000000,None,6999000000,4499000000,113485000000,None,51200000000,2500000000,47419000000,104386000000,22724000000,31296000000,125677000000,None,98252000000,26327000000,5705400000,19681000000,49404000000,33488000000,29924000000,14083000000,3564000000,2034000000,5598000000,766000000,-201000000,None,201000000,None,-175000000,None,3084000000,14473000000,3796000000,201000000,10677000000,9065000000,14674000000,17167000000,10677000000,2015-07-21,0.4625,0.4525,0.01,2.2099
2015-09-30,290345000000,89378000000,21120000000,41601000000,2349000000,30343000000,365166000000,22471000000,26786000000,9009000000,3893000000,5116000000,205666000000,164065000000,20481000000,15085000000,5422000000,170990000000,80610000000,35490000000,None,10999000000,8499000000,123941000000,None,57400000000,2500000000,53329000000,119787000000,25181000000,33427000000,119355000000,None,92284000000,27416000000,5578753000,20548000000,51501000000,43858000000,30953000000,14623000000,3705000000,2220000000,5925000000,826000000,-238000000,None,238000000,None,-149000000,None,3119000000,15062000000,3938000000,238000000,20548000000,9681000000,15300000000,17742000000,11124000000,2015-10-27,0.49,0.47,0.02,4.2553
2015-12-31,293284000000,76219000000,16689000000,38074000000,2451000000,24621000000,394730000000,22300000000,29042000000,9126000000,3924000000,5202000000,215739000000,177665000000,21385000000,11073000000,7974000000,165017000000,76092000000,33312000000,None,9759000000,7259000000,121100000000,None,57600000000,2500000000,53204000000,62698000000,24032000000,32175000000,128267000000,None,101494000000,28253000000,5544487000,30423000000,75596000000,49297000000,45449000000,24171000000,3848000000,2404000000,6252000000,941000000,-276000000,None,276000000,None,-263000000,None,2954000000,24573000000,6212000000,276000000,18361000000,17226000000,24849000000,27125000000,18361000000,2016-01-26,0.82,0.8075,0.0125,1.548
2016-03-31,305277000000,87592000000,21514000000,55283000000,2281000000,19824000000,395330000000,23203000000,30848000000,9092000000,3843000000,5249000000,232928000000,177645000000,33769000000,10204000000,7745000000,174820000000,68265000000,25098000000,None,10498000000,7998000000,140414000000,None,74900000000,2500000000,69374000000,79357000000,23208000000,33859000000,130457000000,None,102021000000,29484000000,5478446000,19921000000,50236000000,34059000000,30636000000,13987000000,3423000000,2511000000,5934000000,986000000,-321000000,None,321000000,None,-510000000,None,2477000000,14142000000,3626000000,321000000,10516000000,10948000000,14463000000,16464000000,10516000000,2016-04-26,0.475,0.5,-0.025,-5
2016-06-30,305602000000,93761000000,18237000000,61756000000,1831000000,19042000000,381605000000,25448000000,32543000000,8767000000,3506000000,5261000000,231520000000,169764000000,43519000000,11132000000,7862000000,179061000000,71486000000,26318000000,None,15996000000,12496000000,143147000000,None,77600000000,3500000000,68939000000,84075000000,20820000000,35572000000,126541000000,None,96542000000,30106000000,5393165000,16106000000,41949000000,29693000000,26252000000,10105000000,3441000000,2560000000,6001000000,1036000000,-409000000,None,409000000,None,-263000000,None,2526000000,10469000000,2673000000,409000000,7796000000,8737000000,10878000000,12631000000,7796000000,2016-07-26,0.355,0.345,0.01,2.8986
