,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,Apple App Store Team Sees Major Shakeup As Business Head Matt Fischer Heads For The Exit - Apple  ( NASDAQ:AAPL ) ,https://www.benzinga.com/news/24/08/40498151/apple-app-store-team-sees-major-shakeup-as-business-head-matt-fischer-heads-for-the-exit,20240822T013236,['Ananya Gairola'],"Apple Inc. AAPL is set to bid farewell to its App Store head, Matt Fischer, who has been at the helm of the App Store business since 2010. What Happened: On Wednesday, in an email to his team, Fischer said, ""After 21 years at Apple, I've made the decision to step away from our incredible company.""",https://cdn.benzinga.com/files/images/story/2024/08/21/Apple-App-Store-Photo-by-BigTunaOnline-o.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.089903,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.548633', 'ticker_sentiment_score': '0.056833', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TCTZF', 'relevance_score': '0.09989', 'ticker_sentiment_score': '-0.029395', 'ticker_sentiment_label': 'Neutral'}]"
1,"Why ARKK Stalled As QQQ Took Off: Harsh Lessons Over Past 5 Years - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , ARK Innovation ETF  ( ARCA:ARKK ) ",https://www.benzinga.com/trading-ideas/long-ideas/24/08/40493585/why-arkk-stalled-as-qqq-took-off-harsh-lessons-over-past-5-years,20240821T194257,['Surbhi Jain'],"Cathie Wood's ARK Innovation ETF ARKK was once the darling of the market, boasting bold bets on disruptive technologies and promising massive returns. Yet, over the past five years, it's been more like a rollercoaster with no brakes-compared to the smooth ride offered by the Invesco QQQ Trust QQQ.",https://cdn.benzinga.com/files/images/story/2024/08/21/Robinhood-Trade.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",0.22737,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.400571', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.400571', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'ROKU', 'relevance_score': '0.309864', 'ticker_sentiment_score': '0.305518', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.400571', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AVGO', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.400571', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TDOC', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.276549', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.235062', 'ticker_sentiment_score': '0.312057', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ZM', 'relevance_score': '0.235062', 'ticker_sentiment_score': '0.240912', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'RBLX', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.191707', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'IVZ', 'relevance_score': '0.079392', 'ticker_sentiment_score': '0.070877', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.191707', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SQ', 'relevance_score': '0.158', 'ticker_sentiment_score': '0.191707', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
2,"Nvidia Fever Stops Rising, Target Shows Consumer Resilient, Annual Jobs Revision May Move Markets - Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/economics/24/08/40489424/nvidia-fever-stops-rising-target-shows-consumer-resilient-annual-jobs-revision-may-move-markets,20240821T154652,['The Arora Report'],"To gain an edge, this is what you need to know today. Please click here for an enlarged chart of Target Corp TGT. Target reported Q2 earnings of $2.57 vs. $2.18 consensus. Q2 comp sales increased by 2% vs. a guide of 0% - 2%. Target cut prices on 5,000 items.",https://thearorareport.com/wp-content/uploads/2024/08/2024-08-21_08h34_09.png,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.993856'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}]",0.262633,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.127119', 'ticker_sentiment_score': '0.185274', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TGT', 'relevance_score': '0.251032', 'ticker_sentiment_score': '0.00396', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.127119', 'ticker_sentiment_score': '-0.27546', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'META', 'relevance_score': '0.127119', 'ticker_sentiment_score': '0.185274', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.127119', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.127119', 'ticker_sentiment_score': '0.185274', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'IVZ', 'relevance_score': '0.063763', 'ticker_sentiment_score': '0.248528', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
3,"Apple Opens NFC Gates: PayPal, Block Set To Transform iOS Checkout, But At What Cost? - PayPal Holdings  ( NASDAQ:PYPL ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/08/40488859/apple-opens-nfc-gates-paypal-block-set-to-transform-ios-checkout-but-at-what-cost,20240821T152427,['Surbhi Jain'],"Apple Inc's AAPL iOS 18.1 could be a boon for PayPal Holdings Inc PYPL and Block Inc SQ, analysts say. The two companies have long been relegated to the sidelines of Apple Pay's ecosystem.",https://cdn.benzinga.com/files/images/story/2024/08/21/Apple-Pay.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.160418,Somewhat-Bullish,"[{'ticker': 'PYPL', 'relevance_score': '0.676678', 'ticker_sentiment_score': '0.198396', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.541149', 'ticker_sentiment_score': '0.057772', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SQ', 'relevance_score': '0.378572', 'ticker_sentiment_score': '0.094206', 'ticker_sentiment_label': 'Neutral'}]"
4,"Market Clubhouse Morning Memo - August 21st, 2024  ( Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA ) ",https://www.benzinga.com/markets/24/08/40487248/market-clubhouse-morning-memo-august-21st-2024-trade-strategy-for-spy-qqq-aapl-msft-nvda-googl-meta,20240821T143829,['RIPS'],"Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META, and TSLA. Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account price, volume, and options flow.",https://cdn.benzinga.com/files/market-clubhouse-morning-memo_276.png?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Financial Markets', 'relevance_score': '0.752319'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.125977,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.093047', 'ticker_sentiment_score': '0.159051', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.031079', 'ticker_sentiment_score': '0.074701', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.093047', 'ticker_sentiment_score': '0.262562', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.093047', 'ticker_sentiment_score': '0.157998', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.123844', 'ticker_sentiment_score': '-0.02036', 'ticker_sentiment_label': 'Neutral'}]"
5,Why Doesn't Warren Buffett Invest in Nvidia?,https://www.fool.com/investing/2024/08/21/why-doesnt-warren-buffett-invest-in-nvidia/,20240821T143700,['Leo Sun'],Berkshire Hathaway still hasn't picked up a single share of the hot AI chipmaker.,https://g.foolcdn.com/editorial/images/787576/semiconductor-board.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.917436'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.225069,Somewhat-Bullish,"[{'ticker': 'NVDA', 'relevance_score': '0.422897', 'ticker_sentiment_score': '0.254575', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.088799', 'ticker_sentiment_score': '0.124986', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRK-A', 'relevance_score': '0.132855', 'ticker_sentiment_score': '0.155256', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
6,Looking At Apple's Recent Unusual Options Activity - Apple  ( NASDAQ:AAPL ) ,https://www.benzinga.com/insights/options/24/08/40485968/looking-at-apples-recent-unusual-options-activity,20240821T134627,['Benzinga Insights'],"Investors with a lot of money to spend have taken a bullish stance on Apple AAPL. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",https://www.benzinga.com/files/images/story/2024/1724247984_0.png,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.413559'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.177528,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.72134', 'ticker_sentiment_score': '0.256768', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'C', 'relevance_score': '0.066414', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
7,Angel Investor Nikita Bier Once Displayed A Giant Painting Of Tim Cook Overlooking Facebook CEO Mark Zuckerberg's Desk - And The Latter Wasn't Too Impressed,https://www.benzinga.com/news/24/08/40482965/angel-investor-nikita-bier-once-displayed-a-giant-painting-of-tim-cook-overlooking-facebook-ceo-mark,20240821T120620,['Ananya Gairola'],"Nikita Bier, angel investor and the founder of Gas and TBH, both of which were acquired by Discord and Facebook, respectively, has shared a funny story involving Apple Inc. CEO Tim Cook and Meta Platforms Inc. CEO Mark Zuckerberg.",https://cdn.benzinga.com/files/images/story/2024/08/21/Tim-Cook-Mark-Zuckerberg.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.099368,Neutral,"[{'ticker': 'META', 'relevance_score': '0.457977', 'ticker_sentiment_score': '0.194583', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.097062', 'ticker_sentiment_score': '0.175796', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
8,Is John Hancock Multifactor Large Cap ETF  ( JHML )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2324736/is-john-hancock-multifactor-large-cap-etf-jhml-a-strong-etf-right-now,20240821T102007,['Zacks Equity Research'],Smart Beta ETF report for ...,https://staticx-tuner.zacks.com/images/default_article_images/default131.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999981'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.174833,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.116631', 'ticker_sentiment_score': '0.066983', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.116631', 'ticker_sentiment_score': '0.066983', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.116631', 'ticker_sentiment_score': '0.066983', 'ticker_sentiment_label': 'Neutral'}]"
9,2 No-Brainer Warren Buffett Stocks to Buy Right Now,https://www.fool.com/investing/2024/08/21/2-no-brainer-warren-buffett-stocks-to-buy-right-no/,20240821T094200,['Eric Volkman'],"His investment vehicle has a dizzying number of titles in its equity portfolio, but these two are standouts.",https://g.foolcdn.com/editorial/images/787287/warren-buffett.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.5855'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.993856'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.250229,Somewhat-Bullish,"[{'ticker': 'KO', 'relevance_score': '0.183546', 'ticker_sentiment_score': '0.200588', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.357507', 'ticker_sentiment_score': '0.202877', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BRK-A', 'relevance_score': '0.046273', 'ticker_sentiment_score': '0.054563', 'ticker_sentiment_label': 'Neutral'}]"
