date,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2014-03-31,36364000000,19327000000,5074000000,8666000000,6716000000,3945000000,17037000000,12267000000,None,2653000000,2653000000,2653000000,None,None,3592000000,3945000000,2117000000,26036000000,18357000000,10590000000,None,784000000,784000000,7679000000,None,3953000000,784000000,3147000000,3931000000,5467000000,4532000000,10328000000,1837000000,2298000000,5000000,460000000,3437000000,19699000000,16262000000,14055000000,146000000,1197000000,133000000,2284000000,11000000,-42000000,None,42000000,None,5000000,None,1010000000,181000000,73000000,42000000,108000000,136000000,223000000,1233000000,108000000,2014-04-24,0.01,0.01,0,0,pre-market
2014-06-30,37898000000,18755000000,5057000000,7986000000,6644000000,4125000000,19143000000,14089000000,None,2677000000,2677000000,2677000000,None,None,2929000000,4125000000,2377000000,27296000000,18751000000,10457000000,1606000000,860000000,860000000,8545000000,None,4000000000,860000000,3119000000,4000000000,5828000000,5426000000,10602000000,1837000000,2172000000,5000000,462000000,3467000000,19295000000,15828000000,13399000000,-15000000,1320000000,139000000,2457000000,11000000,-45000000,None,45000000,None,22000000,None,1109000000,-32000000,94000000,45000000,-126000000,-113000000,13000000,1122000000,-126000000,2014-07-24,-0.01,-0.01,0,0,pre-market
2014-09-30,40419000000,18572000000,5258000000,6883000000,7316000000,4373000000,21847000000,15702000000,None,3332000000,3332000000,3332000000,None,None,1625000000,4373000000,2813000000,30083000000,20842000000,11811000000,1814000000,864000000,864000000,9241000000,None,3983000000,864000000,3099000000,3983000000,6353000000,6142000000,10336000000,1837000000,1735000000,5000000,463000000,3257000000,20530000000,17273000000,14627000000,-544000000,1399000000,138000000,2677000000,9000000,-49000000,None,49000000,None,-50000000,None,1247000000,-642000000,-205000000,49000000,-437000000,-688000000,-593000000,654000000,-437000000,2014-10-23,-0.05,-0.04,-0.01,-25,post-market
2014-12-31,54505000000,31327000000,14557000000,17416000000,8299000000,5612000000,23942000000,16967000000,5763000000,4083000000,764000000,3319000000,None,None,2859000000,-5612000000,2892000000,43764000000,28089000000,16459000000,1823000000,3533000000,1520000000,19722000000,None,9881000000,1520000000,8265000000,9881000000,8287000000,7410000000,10741000000,1837000000,1949000000,5000000,465000000,29328000000,29328000000,22988000000,20672000000,591000000,936000000,148000000,2580000000,8000000,-74000000,None,74000000,None,-95000000,None,1380000000,419000000,205000000,74000000,634000000,97000000,493000000,1873000000,214000000,2015-01-29,0.02,0.01,0.01,100,post-market
2015-03-31,50075000000,25922000000,10237000000,13781000000,7369000000,4772000000,24153000000,17736000000,None,3491000000,3491000000,3491000000,None,None,3544000000,4772000000,2926000000,39202000000,23177000000,11917000000,2420000000,1377000000,1377000000,16025000000,None,9729000000,1377000000,8257000000,9729000000,7463000000,7768000000,10873000000,1837000000,1892000000,5000000,466000000,4271000000,22602000000,18331000000,15395000000,255000000,1510000000,152000000,2980000000,11000000,-115000000,None,115000000,None,-130000000,None,1426000000,14000000,71000000,115000000,-57000000,-298000000,129000000,1555000000,-57000000,2015-04-23,-0.01,-0.01,0,0,post-market
2015-06-30,52440000000,26391000000,10269000000,14001000000,7470000000,4920000000,26049000000,19479000000,None,3523000000,3523000000,3523000000,None,None,3732000000,4920000000,3047000000,40672000000,23912000000,12391000000,2562000000,1259000000,1259000000,16760000000,None,9602000000,1259000000,8250000000,9602000000,7700000000,8510000000,11768000000,1837000000,1984000000,5000000,468000000,4790000000,23071000000,18281000000,15160000000,464000000,1617000000,157000000,3169000000,12000000,-114000000,None,114000000,None,0,None,1504000000,358000000,266000000,114000000,92000000,227000000,472000000,1976000000,92000000,2015-07-23,0.01,-0.01,0.02,200,post-market
2015-09-30,56230000000,28849000000,10709000000,14428000000,8981000000,5440000000,27381000000,20636000000,None,3529000000,3529000000,3529000000,None,None,3719000000,5440000000,3216000000,43800000000,26657000000,14437000000,3063000000,1117000000,1117000000,17143000000,None,9451000000,1117000000,8243000000,9451000000,8040000000,8900000000,12430000000,1837000000,2063000000,5000000,469000000,5161000000,25242000000,20081000000,16755000000,406000000,1727000000,159000000,3369000000,13000000,-116000000,None,116000000,None,-56000000,None,1599000000,240000000,161000000,116000000,79000000,21000000,356000000,1955000000,79000000,2015-10-22,0.01,-0.01,0.02,200,post-market
2015-12-31,64747000000,35705000000,15890000000,19808000000,10243000000,6423000000,29732000000,21838000000,8215000000,4521000000,762000000,3759000000,None,16000000,3918000000,-5654000000,3445000000,51363000000,33887000000,20397000000,3118000000,3265000000,238000000,23457000000,None,8562000000,238000000,8227000000,8562000000,10134000000,9249000000,13384000000,1837000000,2545000000,5000000,471000000,35747000000,35747000000,26787000000,24341000000,1108000000,694000000,167000000,2770000000,13000000,-115000000,None,115000000,None,-69000000,None,1752000000,935000000,453000000,115000000,485000000,434000000,1050000000,2802000000,482000000,2016-01-28,0.05,0.08,-0.03,-37.5,post-market
2016-03-31,61128000000,30513000000,12470000000,15859000000,9582000000,5072000000,30615000000,23308000000,None,3785000000,3785000000,3785000000,None,None,3389000000,5072000000,3522000000,46372000000,28187000000,14990000000,3766000000,3290000000,90000000,22385000000,None,8405000000,90000000,8219000000,8405000000,9341000000,9966000000,14756000000,1837000000,3058000000,5000000,472000000,6385000000,29011000000,22626000000,18866000000,1071000000,1933000000,161000000,3805000000,21000000,-117000000,None,117000000,None,81000000,None,1827000000,988000000,475000000,117000000,513000000,622000000,1105000000,2932000000,513000000,2016-04-28,0.05,0.03,0.02,66.6667,post-market
2016-06-30,65076000000,32220000000,12521000000,16540000000,9588000000,6092000000,32856000000,25190000000,None,3774000000,3774000000,3774000000,None,None,4019000000,6092000000,3892000000,48538000000,29587000000,16123000000,3851000000,3441000000,41000000,23251000000,None,8347000000,41000000,8212000000,8347000000,9572000000,10739000000,16538000000,1837000000,3915000000,5000000,474000000,7073000000,30288000000,23215000000,19180000000,1285000000,2126000000,160000000,4090000000,24000000,-116000000,None,116000000,None,-14000000,None,1909000000,1164000000,307000000,116000000,857000000,900000000,1280000000,3189000000,857000000,2016-07-28,0.09,0.06,0.03,50,post-market
