date,open,high,low,close,volume
2014-01-02,398.8,399.36,394.02,397.97,2137800.0
2014-01-03,398.29,402.71,396.22,396.44,2210200.0
2014-01-06,395.85,397.0,388.42,393.63,3170600.0
2014-01-07,395.04,398.47,394.29,398.03,1916000.0
2014-01-08,398.47,403.0,396.04,401.92,2316500.0
2014-01-09,403.71,406.89,398.44,401.01,2103000.0
2014-01-10,402.53,403.764,393.8,397.66,2679500.0
2014-01-13,397.98,399.78,388.45,390.98,2844900.0
2014-01-14,392.13,398.63,391.29,397.54,2340100.0
2014-01-15,398.94,399.31,392.534,395.87,2678300.0
2014-01-16,393.68,399.29,389.41,395.8,2601200.0
2014-01-17,394.26,403.49,393.66,399.61,4505100.0
2014-01-21,403.0,407.8,401.6,407.05,3122100.0
2014-01-22,408.0,408.06,402.0,404.54,2060500.0
2014-01-23,401.0,406.17,397.79,399.87,3025400.0
2014-01-24,398.16,400.2,387.27,387.6,4458400.0
2014-01-27,390.5,394.1,380.49,386.28,3936800.0
2014-01-28,387.4,394.74,387.12,394.43,2894500.0
2014-01-29,392.16,392.85,383.24,384.2,3382300.0
2014-01-30,393.77,406.25,387.7,403.01,10473900.0
2014-01-31,371.76,375.45,357.76,358.69,16154800.0
2014-02-03,358.98,360.85,340.1,346.15,10280800.0
2014-02-04,349.59,353.9975,344.02,347.95,4812900.0
2014-02-05,346.0,349.37,337.73,346.45,4435400.0
2014-02-06,347.403,354.82,347.403,354.59,3335700.0
2014-02-07,358.98,361.8,352.49,361.08,4330500.0
2014-02-10,361.61,365.0,359.35,360.87,3449700.0
2014-02-11,361.842,363.61,356.25,361.79,3222100.0
2014-02-12,356.43,357.75,346.32,349.25,6587700.0
2014-02-13,347.7,357.2,346.5,357.2,4175000.0
2014-02-14,359.34,359.34,353.35,357.35,3520200.0
2014-02-18,355.28,355.73,349.45,353.65,4998000.0
2014-02-19,352.64,354.54,346.1,347.38,4168100.0
2014-02-20,348.8,350.46,344.38,349.8,3492800.0
2014-02-21,352.44,354.141,346.75,346.76,4210000.0
2014-02-24,345.19,353.0,343.29,351.78,3644700.0
2014-02-25,353.0,361.08,351.58,358.32,3736400.0
2014-02-26,359.86,364.75,357.17,359.8,3622100.0
2014-02-27,357.22,360.59,355.5,360.13,3104900.0
2014-02-28,360.6,365.865,357.084,362.1,3882000.0
2014-03-03,358.735,360.96,354.48,359.78,2798300.0
2014-03-04,363.9,365.68,362.46,363.9,2704400.0
2014-03-05,364.13,372.728,363.9,372.37,3848300.0
2014-03-06,374.05,375.33,368.9,372.16,2926600.0
2014-03-07,374.58,374.99,369.531,372.06,2279800.0
2014-03-10,372.69,372.73,367.0,370.53,2105800.0
2014-03-11,370.99,372.8,367.28,368.82,2246100.0
2014-03-12,366.4,371.16,363.61,370.64,2216600.0
2014-03-13,376.62,383.11,368.08,371.51,6829000.0
2014-03-14,372.8,378.568,371.55,373.74,4402200.0
2014-03-17,375.72,378.85,374.88,375.04,2303000.0
2014-03-18,377.32,379.0,375.0,378.77,2483500.0
2014-03-19,378.77,379.0,369.42,373.23,2646700.0
2014-03-20,370.64,373.0,366.22,368.97,2558500.0
2014-03-21,371.0,372.84,358.4,360.62,5414100.0
2014-03-24,360.09,361.5,348.6,351.85,4873500.0
2014-03-25,354.03,358.97,348.84,354.71,4445700.0
2014-03-26,357.13,357.6,343.4,343.41,4120700.0
2014-03-27,343.15,343.9999,330.88,338.47,5766400.0
2014-03-28,340.05,347.0,336.08,338.29,3986800.0
2014-03-31,342.4,346.29,334.06,336.365,4297500.0
2014-04-01,338.09,344.43,338.0,342.99,3600100.0
2014-04-02,345.99,348.295,340.38,341.96,4475500.0
2014-04-03,341.82,342.5,328.46,333.62,6399300.0
2014-04-04,335.15,335.44,315.61,323.0,12534600.0
2014-04-07,320.99,324.94,313.13,317.76,7077400.0
2014-04-08,321.88,328.0,318.44,327.07,6577600.0
2014-04-09,328.47,332.18,322.5,331.805,5056600.0
2014-04-10,330.6,331.0,316.5,317.11,6126700.0
2014-04-11,314.0,316.5,309.5,311.73,7287500.0
2014-04-14,317.67,320.48,311.28,315.91,4293500.0
2014-04-15,316.7,318.28,305.5,316.08,5398600.0
2014-04-16,321.17,324.0,314.71,323.68,4284900.0
