,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,Wegovy Now Available Through Sesame's $249 Monthly Compounded Program Despite Supply Shortages - Novo Nordisk  ( NYSE:NVO ) ,https://www.benzinga.com/general/biotech/24/08/40489364/wegovy-now-available-through-sesames-249-monthly-compounded-program-despite-supply-shortages,20240821T154423,['Vandana Singh'],Healthcare platform Sesame announced a new weight loss program offering compounded versions of Novo Nordisk A/S's NVO blockbuster drug Wegovy for $249 per month.,https://cdn.benzinga.com/files/images/story/2024/08/21/Siegen--North-Rhine-Westphalia---Germany.jpeg?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.143683,Neutral,"[{'ticker': 'LLY', 'relevance_score': '0.239305', 'ticker_sentiment_score': '-0.040284', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COST', 'relevance_score': '0.239305', 'ticker_sentiment_score': '-0.184797', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NVO', 'relevance_score': '0.457566', 'ticker_sentiment_score': '0.045917', 'ticker_sentiment_label': 'Neutral'}]"
1,How to Boost Your Portfolio with Top Retail and Wholesale Stocks Set to Beat Earnings,https://www.zacks.com/stock/news/2324836/how-to-boost-your-portfolio-with-top-retail-and-wholesale-stocks-set-to-beat-earnings,20240821T125006,['Zacks Equity Research'],Finding stocks expected to beat quarterly earnings estimates becomes an easier task with our Zacks Earnings ESP.,,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.999953'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",0.371225,Bullish,"[{'ticker': 'CHWY', 'relevance_score': '0.33446', 'ticker_sentiment_score': '0.359886', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'COST', 'relevance_score': '0.270523', 'ticker_sentiment_score': '0.274301', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
2,Health-care system Sesame to offer compounded versions of Wegovy through new $249 weight loss program,https://www.cnbc.com/2024/08/21/sesame-to-offer-compounded-wegovy-through-weight-loss-program.html,20240821T100001,[],Sesame is offering compounded semaglutide - the active ingredient in Wegovy and Ozempic - to help users access obesity and diabetes treatments amid shortages.,,CNBC,Business,www.cnbc.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Earnings', 'relevance_score': '0.360215'}]",0.002407,Neutral,"[{'ticker': 'COST', 'relevance_score': '0.040078', 'ticker_sentiment_score': '0.087252', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVO', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.148079', 'ticker_sentiment_label': 'Neutral'}]"
3,"Harris Price Gouging Plan Faces Pushback From Grocers, 'Hurting From The Same Inflationary Pressure' As Customers - Costco Wholesale  ( NASDAQ:COST ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/news/24/08/40467624/harris-price-gouging-plan-faces-pushback-from-grocers-hurting-from-the-same-inflationary-pressure-as,20240820T160517,['Michael Juliano'],"The food industry is rejecting Vice President Kamala Harris' proposal for a federal ban on price gouging by grocery stores. The plan calls for increased scrutiny of potential mergers between large supermarkets and food producers, as well as a federal ban on price hikes.",https://cdn.benzinga.com/files/images/story/2024/08/20/Grocery-Prices-Shutterstock_0.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",-0.202214,Somewhat-Bearish,"[{'ticker': 'TGT', 'relevance_score': '0.203215', 'ticker_sentiment_score': '-0.555399', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'COST', 'relevance_score': '0.203215', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KR', 'relevance_score': '0.203215', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
4,Unpacking the Latest Options Trading Trends in Costco Wholesale - Costco Wholesale  ( NASDAQ:COST ) ,https://www.benzinga.com/insights/options/24/08/40464449/unpacking-the-latest-options-trading-trends-in-costco-wholesale,20240820T141639,['Benzinga Insights'],"Whales with a lot of money to spend have taken a noticeably bullish stance on Costco Wholesale. Looking at options history for Costco Wholesale COST we detected 8 trades. If we consider the specifics of each trade, it is accurate to state that 62% of the investors opened trades with bullish ...",https://www.benzinga.com/files/images/story/2024/1724163396_0.png,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.209517,Somewhat-Bullish,"[{'ticker': 'EVR', 'relevance_score': '0.068896', 'ticker_sentiment_score': '0.143608', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COST', 'relevance_score': '0.80531', 'ticker_sentiment_score': '0.364097', 'ticker_sentiment_label': 'Bullish'}]"
5,Why Costco  ( COST )  is a Top Momentum Stock for the Long-Term,https://www.zacks.com/stock/news/2324385/why-costco-cost-is-a-top-momentum-stock-for-the-long-term,20240820T135011,['Zacks Equity Research'],"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",https://staticx-tuner.zacks.com/images/default_article_images/default78.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.769861'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}]",0.409635,Bullish,"[{'ticker': 'COST', 'relevance_score': '0.321393', 'ticker_sentiment_score': '0.228512', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
6,Costco  ( COST )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2324046/costco-cost-gains-but-lags-market-what-you-should-know,20240819T214519,['Zacks Equity Research'],"The latest trading day saw Costco (COST) settling at $872.35, representing a +0.2% change from its previous close.",https://staticx-tuner.zacks.com/images/default_article_images/default290.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Earnings', 'relevance_score': '0.986564'}]",0.173876,Somewhat-Bullish,"[{'ticker': 'COST', 'relevance_score': '0.511734', 'ticker_sentiment_score': '0.275945', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
7,"Peloton Gears Up for Q4 Earnings: What's in Store? - Burlington Stores  ( NYSE:BURL ) , Costco Wholesale  ( NASDAQ:COST ) ",https://www.benzinga.com/news/earnings/24/08/40444618/peloton-gears-up-for-q4-earnings-whats-in-store,20240819T201202,['Zacks'],"Peloton Interactive, Inc. PTON is scheduled to report fourth-quarter fiscal 2024 results on Aug 22, before the opening bell. In the last reported quarter, the company's earnings missed the Zacks Consensus Estimate by 15.4%. The Zacks Consensus Estimate for the fourth quarter is pegged at a loss ...",https://staticx-tuner.zacks.com/images/charts/2e/1724072327.png,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.999992'}]",0.233746,Somewhat-Bullish,"[{'ticker': 'BURL', 'relevance_score': '0.178021', 'ticker_sentiment_score': '0.134821', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COST', 'relevance_score': '0.178021', 'ticker_sentiment_score': '0.153312', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PTON', 'relevance_score': '0.235823', 'ticker_sentiment_score': '-0.103777', 'ticker_sentiment_label': 'Neutral'}]"
8,Walmart Wins Bargain Games,https://www.fool.com/investing/2024/08/19/walmart-wins-bargain-games/,20240819T165100,['Motley Fool Staff'],The world's largest retailer is crushing the market.,https://g.foolcdn.com/editorial/images/787527/mfm_15.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.999921'}, {'topic': 'Earnings', 'relevance_score': '0.839681'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.360215'}]",0.176233,Somewhat-Bullish,"[{'ticker': 'WSM', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.073137', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COST', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.043756', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRWD', 'relevance_score': '0.007744', 'ticker_sentiment_score': '0.038249', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KR', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.004514', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LLY', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.039413', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.007744', 'ticker_sentiment_score': '-0.002453', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HD', 'relevance_score': '0.015487', 'ticker_sentiment_score': '0.085152', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.11575', 'ticker_sentiment_score': '0.097565', 'ticker_sentiment_label': 'Neutral'}]"
9,Peloton  ( PTON )  Gears Up for Q4 Earnings: What's in Store?,https://www.zacks.com/stock/news/2323834/peloton-pton-gears-up-for-q4-earnings-whats-in-store,20240819T143800,['Zacks Equity Research'],Peloton's (PTON) fourth-quarter fiscal 2024 performance is likely to have been hurt by dismal Connected Fitness Products revenues.,https://staticx-tuner.zacks.com/images/articles/main/76/2057.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.206253,Somewhat-Bullish,"[{'ticker': 'BURL', 'relevance_score': '0.179343', 'ticker_sentiment_score': '0.131238', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COST', 'relevance_score': '0.179343', 'ticker_sentiment_score': '0.149826', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PTON', 'relevance_score': '0.237551', 'ticker_sentiment_score': '-0.093767', 'ticker_sentiment_label': 'Neutral'}]"
