,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,1 Growth Stock Down 50% to Buy Right Now,https://www.fool.com/investing/2024/08/21/1-growth-stock-down-50-to-buy-right-now/,20240821T150700,['Dani Cook'],"Disney is trading at a bargain right now, and you don't want to miss out.",https://media.ycharts.com/charts/fcd88254b425b2e57e21a8949d468456.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.996023'}, {'topic': 'Earnings', 'relevance_score': '0.99237'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",0.389729,Bullish,"[{'ticker': 'CCZ', 'relevance_score': '0.054607', 'ticker_sentiment_score': '0.097163', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.196147', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
1,L'ATTITUDE: The Country's Largest Business Event Celebrating the U.S. Latino Cohort Returns for Its Seventh Year,https://www.benzinga.com/pressreleases/24/08/n40484517/lattitude-the-countrys-largest-business-event-celebrating-the-u-s-latino-cohort-returns-for-its-se,20240821T130100,['PRNewswire'],"This year's event will reveal groundbreaking data, transformative insights and new reports on America's growth engine: U.S. Latinos. SAN DIEGO, Aug. 21, 2024 /PRNewswire/ -- L'ATTITUDE, the nation's premier business event focused on amplifying the critical importance and power of the U.S.",https://mma.prnewswire.com/media/2467586/L_ATTITUDE_Logo.jpg,Benzinga,General,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}]",0.314247,Somewhat-Bullish,"[{'ticker': 'SNEJF', 'relevance_score': '0.02677', 'ticker_sentiment_score': '0.272388', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ULTA', 'relevance_score': '0.02677', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.106778', 'ticker_sentiment_score': '0.101869', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WFC', 'relevance_score': '0.106778', 'ticker_sentiment_score': '0.030846', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MS', 'relevance_score': '0.02677', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AXP', 'relevance_score': '0.02677', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NKE', 'relevance_score': '0.053509', 'ticker_sentiment_score': '0.093706', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CCZ', 'relevance_score': '0.02677', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ACN', 'relevance_score': '0.053509', 'ticker_sentiment_score': '0.093706', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DEO', 'relevance_score': '0.02677', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.02677', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
2,"'We Saved The Industry,' FuboTV CEO Says After Judge Halts Sports JV: Analyst Expects Injunction Will Kill Venu - FuboTV  ( NYSE:FUBO ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/08/40443946/we-saved-the-industry-fubotv-ceo-says-after-judge-halts-sports-jv-analyst-expects-i,20240819T155130,['Chris Katje'],"The temporary halt of a sports streaming joint venture from The Walt Disney Company DIS, Warner Bros. Discovery WBD and Fox Corporation FOXFOXA is a big win for FuboTv Inc FUBO, but the battle continues, an analyst said Monday.",https://cdn.benzinga.com/files/images/story/2024/08/19/untitled_1.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",0.201415,Somewhat-Bullish,"[{'ticker': 'CCZ', 'relevance_score': '0.053509', 'ticker_sentiment_score': '0.149719', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FUBO', 'relevance_score': '0.31282', 'ticker_sentiment_score': '0.213484', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOX', 'relevance_score': '0.053509', 'ticker_sentiment_score': '-0.027', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.106778', 'ticker_sentiment_score': '-0.030021', 'ticker_sentiment_label': 'Neutral'}]"
3,Disney Just Made a Game-Changing Move. Here's What You Need to Know.,https://www.fool.com/investing/2024/08/17/disney-just-made-a-game-changing-move/,20240817T121700,['Dani Cook'],The company is ramping up investment abroad after a series of wins at the box office and in streaming.,https://media.ycharts.com/charts/e644086cf990bb42227cf10f7c38ed2f.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.972476'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.5855'}]",0.390045,Bullish,"[{'ticker': 'CCZ', 'relevance_score': '0.051999', 'ticker_sentiment_score': '0.266738', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.1021', 'ticker_sentiment_label': 'Neutral'}]"
4,"Globant's  ( GLOB )  Q2 Earnings Beat Estimates, Revenues Up Y/Y",https://www.zacks.com/stock/news/2322959/globants-glob-q2-earnings-beat-estimates-revenues-up-yy,20240816T122600,['Zacks Equity Research'],Globant (GLOB) posts healthy Q2 2024 results owing to an expanded footprint across all verticals and regions. Solid growth in AI-oriented revenues aid top-line results.,https://staticx-tuner.zacks.com/images/articles/main/e7/705.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.999986'}, {'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.140682,Neutral,"[{'ticker': 'GLOB', 'relevance_score': '0.503559', 'ticker_sentiment_score': '0.110439', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SAP', 'relevance_score': '0.179343', 'ticker_sentiment_score': '0.212548', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BMI', 'relevance_score': '0.179343', 'ticker_sentiment_score': '0.173156', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.060236', 'ticker_sentiment_score': '0.103001', 'ticker_sentiment_label': 'Neutral'}]"
5,"Did Netflix Just Say ""Checkmate"" to Disney? Why Investors Should Pay Attention to the Streamer's New Concept",https://www.fool.com/investing/2024/08/16/did-netflix-just-say-checkmate-to-disney-why-inves/,20240816T111500,['Adam Spatacco'],Netflix may have just beaten Disney at its own game.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F786856%2Fgettyimages-1197839751.jpg&op=resize&w=700,Motley Fool,n/a,www.fool.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.186866,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '0.848829', 'ticker_sentiment_score': '0.369651', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.057215', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
6,"Disney+ Subscription Agreement Prevents Spouse Of Allergy Death Victim From Suing, Says Company - Walt Disney  ( NYSE:DIS ) ",https://www.benzinga.com/general/entertainment/24/08/40387127/disney-subscription-agreement-prevents-spouse-of-allergy-death-victim-from-suing-says-compa,20240815T065049,['Ananya Gairola'],"The Walt Disney Company DIS contended that a wrongful death lawsuit against it should be dismissed, citing an arbitration clause in their streaming service agreement.",https://cdn.benzinga.com/files/images/story/2024/08/15/untitled.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.614606'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",-0.132163,Neutral,"[{'ticker': 'DIS', 'relevance_score': '0.167904', 'ticker_sentiment_score': '-0.272007', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
7,Kartoon Studios Provides Business Update for the Second Quarter of 2024; Key Metrics Up,https://www.globenewswire.com/news-release/2024/08/14/2930084/0/en/Kartoon-Studios-Provides-Business-Update-for-the-Second-Quarter-of-2024-Key-Metrics-Up.html,20240814T124500,['Kartoon Studios'],"BEVERLY HILLS, Calif., Aug. 14, 2024 ( GLOBE NEWSWIRE ) -- Kartoon Studios ( NYSE American: TOON ) today provided a business update for the quarter ended June 30, 2024. The Company's Chairman & CEO, Andy Heyward, also provided a letter to shareholders, which is available HERE.",https://ml.globenewswire.com/Resource/Download/b1a229b1-2f43-4aa0-b179-07c50f94958d,GlobeNewswire,n/a,www.globenewswire.com,"[{'topic': 'Earnings', 'relevance_score': '0.161647'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]",0.31591,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '0.023102', 'ticker_sentiment_score': '0.095329', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SSNLF', 'relevance_score': '0.092213', 'ticker_sentiment_score': '0.125413', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.046184', 'ticker_sentiment_score': '0.124158', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ROKU', 'relevance_score': '0.069227', 'ticker_sentiment_score': '0.127052', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AENT', 'relevance_score': '0.023102', 'ticker_sentiment_score': '0.073224', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CCZ', 'relevance_score': '0.069227', 'ticker_sentiment_score': '0.127052', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.023102', 'ticker_sentiment_score': '0.205736', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
8,Disney Characters Join Fortnite In Latest Collaboration With Epic Games - Walt Disney  ( NYSE:DIS ) ,https://www.benzinga.com/top-stories/24/08/40322467/disney-characters-join-fortnite-in-latest-collaboration-with-epic-games,20240812T192628,['Franca Quarneti'],"Epic Games is expanding its popular battle royale game Fortnite through a new collaboration with The Walt Disney Company DIS, which will introduce a variety of characters from Star Wars, Marvel, and Pixar. The collaboration was announced at the Disney Experiences Showcase during D23 2024.",https://cdn.benzinga.com/files/images/story/2024/08/12/fortnite-disne.jpeg?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,[],0.073413,Neutral,"[{'ticker': 'DIS', 'relevance_score': '0.279015', 'ticker_sentiment_score': '0.080263', 'ticker_sentiment_label': 'Neutral'}]"
9,"Disney's 'Deadpool & Wolverine' Hits $1B, D23 Unveils New Sequels, Theme Park Expansions, 'Fortnite' Collaborations: Can Disney Stock Rebound In 2024? - Walt Disney  ( NYSE:DIS ) ",https://www.benzinga.com/general/entertainment/24/08/40319102/disneys-deadpool-wolverine-hits-1b-d23-unveils-new-sequels-theme-park-expansions-fortnite-c,20240812T163905,['Chris Katje'],"The Walt Disney Company DIS had a magical weekend with many company updates shared at its bi-annual D23 Expo along with ""Deadpool & Wolverine"" continuing to perform well at the box office.",https://cdn.benzinga.com/files/images/story/2024/08/12/untitled.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",0.069313,Neutral,"[{'ticker': 'DIS', 'relevance_score': '0.134841', 'ticker_sentiment_score': '0.153318', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
