,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,"Three Biotech Stocks to Buy for the ""Golden Age of Medicine""",https://www.benzinga.com/personal-finance/24/08/40446326/three-biotech-stocks-to-buy-for-the-golden-age-of-medicine,20240819T174930,['Nic Chahine'],"A year ago, medical experts and Nobel Laureates interviewed by The New York Times proclaimed ""a Golden Age of Medicine"" is here. And in the 12 months since, a flurry of new drug and medical discoveries has proven them to be right.",https://editorial-assets.benzinga.com/wp-content/uploads/2024/08/19133532/IDNA.png,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.839681'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.208491,Somewhat-Bullish,"[{'ticker': 'BLK', 'relevance_score': '0.05257', 'ticker_sentiment_score': '0.187654', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BAC', 'relevance_score': '0.05257', 'ticker_sentiment_score': '0.102342', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVO', 'relevance_score': '0.05257', 'ticker_sentiment_score': '0.150608', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'RYTM', 'relevance_score': '0.258351', 'ticker_sentiment_score': '0.060263', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRK-A', 'relevance_score': '0.05257', 'ticker_sentiment_score': '0.270014', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LLY', 'relevance_score': '0.447091', 'ticker_sentiment_score': '0.197109', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NYT', 'relevance_score': '0.05257', 'ticker_sentiment_score': '0.094611', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ISRG', 'relevance_score': '0.05257', 'ticker_sentiment_score': '0.150608', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'UNH', 'relevance_score': '0.104911', 'ticker_sentiment_score': '0.163211', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SNY', 'relevance_score': '0.1568', 'ticker_sentiment_score': '0.295768', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
1,Walmart Wins Bargain Games,https://www.fool.com/investing/2024/08/19/walmart-wins-bargain-games/,20240819T165100,['Motley Fool Staff'],The world's largest retailer is crushing the market.,https://g.foolcdn.com/editorial/images/787527/mfm_15.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.999921'}, {'topic': 'Earnings', 'relevance_score': '0.839681'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.360215'}]",0.176233,Somewhat-Bullish,"[{'ticker': 'WSM', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.073137', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COST', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.043756', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRWD', 'relevance_score': '0.007744', 'ticker_sentiment_score': '0.038249', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KR', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.004514', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LLY', 'relevance_score': '0.023229', 'ticker_sentiment_score': '0.039413', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.007744', 'ticker_sentiment_score': '-0.002453', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HD', 'relevance_score': '0.015487', 'ticker_sentiment_score': '0.085152', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.11575', 'ticker_sentiment_score': '0.097565', 'ticker_sentiment_label': 'Neutral'}]"
2,"Pfizer  ( PFE ) , BioNTech COVID-Flu Combo Shot Study Falters",https://www.zacks.com/stock/news/2323673/pfizer-pfe-biontech-covid-flu-combo-shot-study-falters,20240819T132300,['Zacks Equity Research'],Pfizer's (PFE) COVID and flu combination vaccine demonstrates a continued trend of higher responses against influenza A but fails to show non-inferiority against the influenza B strain.,https://staticx-tuner.zacks.com/images/articles/main/cc/389.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.682689'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.118219,Neutral,"[{'ticker': 'LLY', 'relevance_score': '0.129516', 'ticker_sentiment_score': '0.077191', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MRNA', 'relevance_score': '0.255641', 'ticker_sentiment_score': '0.286019', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PFE', 'relevance_score': '0.536866', 'ticker_sentiment_score': '0.259627', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BNTX', 'relevance_score': '0.193207', 'ticker_sentiment_score': '0.164113', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
3,"Zacks Investment Ideas feature highlights: Walmart, Cardinal Health and Eli Lilly",https://www.zacks.com/stock/news/2323468/zacks-investment-ideas-feature-highlights-walmart-cardinal-health-and-eli-lilly,20240819T093200,['Zacks Investment Research'],"Walmart, Cardinal Health and Eli Lilly have been highlighted in this Investment Ideas article.",https://staticx-tuner.zacks.com/images/articles/main/2c/546.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Earnings', 'relevance_score': '0.993781'}]",0.371589,Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.316168', 'ticker_sentiment_score': '0.210345', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CAH', 'relevance_score': '0.265666', 'ticker_sentiment_score': '0.270485', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.265666', 'ticker_sentiment_score': '0.357146', 'ticker_sentiment_label': 'Bullish'}]"
4,Prediction: These 2 Unstoppable Pharma Stocks Will Continue to Soar Through 2025 and Beyond,https://www.fool.com/investing/2024/08/19/prediction-these-2-unstoppable-pharma-stocks-will/,20240819T091100,['Alex Carchidi'],Impediments to growth are melting away while new opportunities begin to rise.,https://media.ycharts.com/charts/79abf809571885a9aab471411906d726.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}]",0.269828,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.250386', 'ticker_sentiment_score': '0.095444', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVO', 'relevance_score': '0.250386', 'ticker_sentiment_score': '0.095444', 'ticker_sentiment_label': 'Neutral'}]"
5,Forget Mounjaro: Eli Lilly's Next Big Blockbuster Has Arrived,https://www.fool.com/investing/2024/08/18/forget-mounjaro-eli-lillys-next-big-blockbuster-ha/,20240818T181000,['Adam Spatacco'],Eli Lilly has a lot going for it.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F787061%2Fscreenshot-2024-08-13-131428.jpg&op=resize&w=700,Motley Fool,n/a,www.fool.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Earnings', 'relevance_score': '0.714479'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.238917,Somewhat-Bullish,"[{'ticker': 'GS', 'relevance_score': '0.046273', 'ticker_sentiment_score': '0.044655', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LLY', 'relevance_score': '0.676093', 'ticker_sentiment_score': '0.416606', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVO', 'relevance_score': '0.315397', 'ticker_sentiment_score': '0.25529', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
6,Prediction: This Hypergrowth Company Could Be the Next Trillion-Dollar Stock,https://www.fool.com/investing/2024/08/18/prediction-this-hypergrowth-company-could-be-the-n/,20240818T160500,['Prosper Junior Bakiny'],There's no stopping this incredible pharmaceutical stock.,https://g.foolcdn.com/editorial/images/786915/doctor-with-patient-talking.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.99737'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.288539,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.420705', 'ticker_sentiment_score': '0.401701', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AVGO', 'relevance_score': '0.04912', 'ticker_sentiment_score': '0.123595', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.098054', 'ticker_sentiment_score': '0.132682', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRK-A', 'relevance_score': '0.146618', 'ticker_sentiment_score': '0.143737', 'ticker_sentiment_label': 'Neutral'}]"
7,Novo Nordisk and Eli Lilly Could Have a Big Rival in the GLP-1 Market in a Few Years,https://www.fool.com/investing/2024/08/18/novo-nordisk-and-eli-lilly-could-have-a-big-rival/,20240818T101200,['David Jagielski'],Should Novo Nordisk and Eli Lilly investors be worried about Roche?,https://g.foolcdn.com/editorial/images/786781/person-standing-on-a-scale.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.088918,Neutral,"[{'ticker': 'LLY', 'relevance_score': '0.510588', 'ticker_sentiment_score': '0.170376', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVO', 'relevance_score': '0.510588', 'ticker_sentiment_score': '0.170376', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
8,3 Fantastic Growth Stocks to Buy in August,https://www.fool.com/investing/2024/08/17/3-fantastic-growth-stocks-to-buy-in-august/,20240817T113000,"['Keith Speights', 'and Prosper Junior Bakiny', 'David Jagielski']",These stocks should keep up their winning ways.,https://g.foolcdn.com/editorial/images/787352/woman-smiling-looking-at-laptop.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",0.361236,Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.374', 'ticker_sentiment_score': '0.277379', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'VRTX', 'relevance_score': '0.171485', 'ticker_sentiment_score': '0.179105', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FMBRY', 'relevance_score': '0.043186', 'ticker_sentiment_score': '0.236572', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVO', 'relevance_score': '0.374', 'ticker_sentiment_score': '0.43317', 'ticker_sentiment_label': 'Bullish'}]"
9,"Eli Lilly's Top GLP-1 Drugs Now Account for Nearly 40% of Its Revenue, and That's Likely to Go Higher in Future Quarters",https://www.fool.com/investing/2024/08/17/eli-lillys-top-glp-1-drugs-now-account-for-nearly/,20240817T112100,['David Jagielski'],Mounjaro and Zepbound are likely to be Eli Lilly's top two products in the very near future.,https://g.foolcdn.com/editorial/images/786778/a-person-trying-to-lose-weight-and-who-is-measuring-their-waist.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.997405'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}]",0.214936,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.452295', 'ticker_sentiment_score': '0.333552', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
10,Why Lilly  ( LLY )  Might be Well Poised for a Surge,https://www.zacks.com/stock/news/2323318/why-lilly-lly-might-be-well-poised-for-a-surge,20240816T162008,['Zacks Equity Research'],"Lilly (LLY) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",https://staticx-tuner.zacks.com/images/default_article_images/default115.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.9545'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",0.432377,Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.60098', 'ticker_sentiment_score': '0.67841', 'ticker_sentiment_label': 'Bullish'}]"
11,"Pharma Stock Roundup: AZN Gets Approvals for Imfinzi Expanded Use, MRK Inks New Deal",https://www.zacks.com/stock/news/2323142/pharma-stock-roundup-azn-gets-approvals-for-imfinzi-expanded-use-mrk-inks-new-deal,20240816T143500,['Kinjel Shah'],Merck (MRK) signs a new collaboration with a private drugmaker. AstraZeneca (AZN) gets approvals for expanded use of Imfinzi.,https://staticx-tuner.zacks.com/images/articles/main/52/873.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}]",0.05775,Neutral,"[{'ticker': 'LLY', 'relevance_score': '0.0864', 'ticker_sentiment_score': '-0.069855', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AZN', 'relevance_score': '0.2138', 'ticker_sentiment_score': '0.060893', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.17179', 'ticker_sentiment_score': '0.068314', 'ticker_sentiment_label': 'Neutral'}]"
12,"3 Companies Reporting Remarkable Results: WMT, LLY, CAH",https://www.zacks.com/commentary/2322741/3-companies-reporting-remarkable-results-wmt-lly-cah,20240816T141500,['Derek Lewis'],"All three companies posted robust results and upped their outlooks, a bullish pairing. Is it time to buy?",https://staticx-tuner.zacks.com/images/articles/main/0a/1429.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}, {'topic': 'Earnings', 'relevance_score': '0.996675'}]",0.352543,Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.366832', 'ticker_sentiment_score': '0.323142', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CAH', 'relevance_score': '0.317527', 'ticker_sentiment_score': '0.38479', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.317527', 'ticker_sentiment_score': '0.447012', 'ticker_sentiment_label': 'Bullish'}]"
