date,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2014-01-26,7250894000,5624711000,1152000000,4671810000,387765000,None,1626183000,582740000,700080000,939191000,296012000,643179000,None,None,3520223000,104252000,104252000,2795894000,945496000,324391000,445307000,None,308110000,1849000000,17500000,1356375000,None,None,1681985000,30590000,475125000,4455000000,2537295000,3504742000,732000,567996734,619242000,1144218000,524976000,524976000,166697000,115975000,336807000,452782000,4156000,-7935000,-443000,7492000,None,5392000,None,54690000,168624000,21707000,7935000,619242000,146046000,176116000,230806000,146917000,,,,,
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-12,0.006,0.005,0.001,20
2014-04-27,6864663000,5273798000,509000000,4347817000,393280000,None,1590865000,570802000,None,920709000,277530000,643179000,None,None,3838652000,99354000,None,2697678000,897945000,309008000,371837000,None,287927000,1799733000,16683000,1363276000,None,None,1667886000,25299000,419774000,4166985000,2926789000,3594527000,743000,559092000,604000000,1103000000,499000000,498585000,151000000,119000000,334000000,453000000,5710000,-11471000,-471000,11000000,None,17000000,None,55000000,163000000,26000000,11471000,136516000,138000000,174000000,229000000,137000000,,,,,
2014-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-06,0.006,0.004,0.002,50
2014-07-27,6933719000,5377586000,515000000,4386054000,387434000,None,1556133000,556911000,None,903792000,260613000,643179000,None,None,3870962000,95430000,None,2628933000,868729000,261627000,305767000,None,303369000,1760204000,15842000,1370249000,None,None,1689460000,26700000,374113000,4304786000,3058149000,3675071000,744000,558223000,619000000,1103000000,484000000,483850000,163000000,119000000,337000000,456000000,6829000,-11526000,474000,12000000,None,-3000000,None,56000000,155000000,27000000,11526000,127976000,126000000,167000000,223000000,128000000,,,,,
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-07,0.006,0.005,0.001,20
2014-10-26,6885869000,5341109000,395000000,4240797000,408081000,None,1544760000,566601000,None,884480000,241301000,643179000,None,None,3846114000,93679000,None,2681276000,933907000,328097000,240829000,None,315049000,1747369000,14977000,1377259000,None,None,1707285000,32126000,355133000,4204593000,3390985000,3801966000,752000,547789000,677000000,1225000000,548000000,548684000,213000000,123000000,340000000,463000000,7422000,-11542000,-542000,11000000,None,0,None,56000000,209000000,36000000,11542000,172967000,178000000,220000000,276000000,173000000,,,,,
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-06,0.008,0.007,0.001,14.2857
2015-01-25,7201000000,5713000000,497000000,4623339000,483000000,None,1488071000,557000000,622000000,840000000,222000000,618000000,None,None,4126685000,91000000,91000000,2783000000,896000000,293000000,400573000,None,142073000,1887356000,14086000,1384000000,1398000000,None,1540501000,167999000,489000000,4418000000,3395000000,3949000000,1000000,544913000,699000000,1251000000,552000000,550911000,231000000,119000000,349000000,468000000,8129000,-11594000,-594000,11000000,None,0,None,54000000,227000000,34000000,11594000,699603000,192000000,238000000,292000000,193000000,,,,,
2015-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-11,0.009,0.007,0.002,28.5714
2015-04-26,7291000000,5832000000,464000000,4792000000,438000000,None,1459000000,547000000,None,823000000,205000000,618000000,None,None,4328000000,89000000,None,2735000000,883000000,222000000,42000000,None,136000000,1852000000,13000000,1391000000,None,None,1540000000,148000000,448000000,4556000000,3476000000,4037000000,1000000,549000000,653000000,1151000000,498000000,498000000,176000000,138000000,339000000,477000000,9000000,-12000000,None,12000000,None,-1000000,None,54000000,172000000,38000000,12000000,134000000,135000000,184000000,238000000,134000000,,,,,
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-07,0.006,0.006,0,0
2015-07-26,6979000000,5608000000,435000000,4505000000,441000000,None,1371000000,497000000,None,808000000,190000000,618000000,None,None,4070000000,66000000,None,2794000000,936000000,277000000,1000000,None,192000000,1858000000,12000000,1399000000,None,None,1603000000,146000000,447000000,4185000000,3765000000,4010000000,1000000,541000000,634000000,1153000000,519000000,519000000,76000000,149000000,320000000,558000000,9000000,-12000000,None,12000000,None,-1000000,None,49000000,72000000,46000000,12000000,26000000,19000000,84000000,133000000,26000000,,,,,
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-06,0.004,0.003,0.001,33.3333
2015-10-25,7174000000,5834000000,471000000,4728000000,425000000,None,1340000000,477000000,None,790000000,172000000,618000000,None,None,4257000000,73000000,None,2709000000,855000000,295000000,1000000,None,163000000,1854000000,11000000,1406000000,None,None,1580000000,168000000,437000000,4465000000,3912000000,4204000000,1000000,542000000,733000000,1305000000,572000000,571000000,245000000,152000000,329000000,489000000,9000000,-12000000,None,12000000,None,3000000,None,48000000,246000000,-1000000,12000000,246000000,246000000,258000000,306000000,247000000,,,,,
2015-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-05,0.011,0.006,0.005,83.3333
