date,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2014-03-31,4500410000,3156047000,2393908000,2584068000,450730000,72380000,892634000,849389000,169335000,13662000,13662000,None,None,None,190160000,49918000,36143000,3518412000,1413470000,375778000,270706000,598272000,598272000,1836712000,12572000,1779875000,589875000,1519967000,2200754000,-598272000,70969000,912056000,None,-1189420000,124000,124040756,155128000,620542000,465414000,466992000,-43967000,117551000,81544000,199095000,141000,-11883000,None,11883000,807000,6718000,None,44268000,-48991000,809000,11883000,-49800000,-49800000,-37108000,7160000,-49800000,2014-05-07,0.01,0.1,-0.09,-90
2014-06-30,5054463000,3441694000,2674910000,2686624000,596927000,96607000,1081543000,1035822000,204690000,13541000,13541000,None,None,None,11714000,73250000,38474000,4036047000,1575850000,443548000,None,603412000,603412000,964820000,14099000,1923712000,593712000,593700000,2450618000,-603412000,98902000,952333000,None,-1251327000,125000,124588213,212995000,769349000,556354000,556354000,-28753000,134031000,107717000,241748000,467000,-31238000,None,31238000,-597000,-1226000,None,54715000,-60750000,1150000,31238000,-61900000,-61900000,-29512000,25203000,-61900000,2014-07-31,0.01,0.04,-0.03,-75
2014-09-30,5437533000,3362914000,2370735000,2370735000,752492000,156889000,1470296000,1404326000,243447000,13420000,13420000,None,None,None,17331000,82798000,43460000,4417278000,1839777000,649362000,415891000,607218000,607218000,1090174000,12806000,2384261000,597626000,597600000,2384261000,-607218000,125997000,958094000,None,-1326041000,125000,125366171,251851000,851804000,599953000,599953000,-39129000,155107000,135873000,290980000,300000,-29062000,None,29062000,2497000,-3090000,None,64972000,-70981000,3727000,29062000,-74708000,-74708000,-41919000,23053000,-74708000,2014-11-05,0.02,-0.01,0.03,300
2014-12-31,5830667000,3180073000,1905713000,1905713000,953675000,226604000,1883850000,1829267000,292590000,None,None,None,16673000,None,17947000,112665000,43209000,4860761000,2107166000,777946000,381096000,1212698000,601599000,2266433000,12267000,2959795000,611099000,1220000000,3561394000,-632128000,154660000,911710000,None,-1433682000,126000,125687607,261697000,956661000,694964000,696078000,-74838000,196970000,139565000,336535000,219000,-28703000,None,28703000,-816000,-588000,None,67976000,-103911000,3719000,28703000,261697000,-107651000,-75208000,-7232000,-107630000,2015-02-11,-0.01,0.02,-0.03,-150
2015-03-31,6120030000,2921417000,1510076000,1510076000,1054840000,200052000,2286552000,2224191000,342386000,None,None,None,16682000,None,20693000,156449000,48515000,5239756000,2192381000,732331000,424104000,692822000,77700000,385415000,11265000,1233708000,605500000,1170000000,1311408000,-630332000,61300000,825997000,None,-1587841000,126000,126362303,260073000,939880000,679807000,637646000,-102446000,195365000,167154000,362519000,184000,-26574000,None,26574000,-27977000,-22305000,None,77112000,-151141000,3040000,26574000,-154181000,-170124000,-124567000,-47455000,-154181000,2015-05-06,-0.36,-0.5,0.14,28
2015-06-30,6468185000,2628621000,1150673000,1150673000,1212279000,138648000,2719318000,2646017000,403869000,None,None,None,None,None,20591000,127021000,53527000,5701978000,2384388000,771637000,482573000,729913000,114300000,604024000,11254000,1369262000,609500000,1440000000,1483562000,-638275000,258142000,715934000,None,-1772068000,127000,127100947,213370000,954976000,741606000,666386000,-170188000,201846000,181712000,383558000,247000,-24352000,None,24352000,11206000,13233000,None,91389000,-181060000,3167000,24352000,-184227000,-183066000,-156708000,-65319000,-184227000,2015-08-05,-0.03,-0.6,0.57,95
2015-09-30,7547497000,2998795000,1426036000,1426036000,1293717000,119964000,3187977000,3103811000,472769000,None,None,None,None,None,25223000,159078000,57811000,6186660000,2553771000,824861000,73900000,751000000,124400000,713799000,15033000,1181000000,613600000,1350000000,1305400000,-651809000,336505000,1314656000,None,-2001926000,131000,130901000,231496000,936789000,705293000,628729000,-183662000,236367000,178791000,415158000,327000,-29308000,None,29308000,83540000,-15431000,None,110366000,-228074000,1784000,29308000,-229858000,-239039000,-198766000,-88400000,-229858000,2015-11-03,-0.04,-0.04,0,0
2015-12-31,8067939000,2782006000,1196908000,1196908000,1277838000,168965000,3416156000,3403334000,571126000,12816000,12816000,None,7300000,None,16700000,147857000,46858000,6936950000,2811035000,916148000,679132000,633166000,5239000,2851456000,None,441000000,627927000,1290000000,446239000,-633166000,364976000,1083704000,None,-2322323000,131000,131425000,218564000,1214379000,995816000,918079000,-260333000,288654000,190243000,478897000,750000,-38617000,None,38617000,-20182000,-17149000,None,143723000,-315349000,5048000,38617000,218564000,-299968000,-276732000,-133009000,-320397000,2016-02-10,-0.87,0.1,-0.97,-970
2016-03-31,9191702000,3239543000,1441789000,1441789000,1301961000,318056000,3707949000,3593014000,673089000,None,None,None,26800000,None,23980000,177737000,67152000,8178711000,3187699000,1013486000,800968000,635285000,635285000,3407937000,None,1855285000,635285000,1220000000,1937150000,-635285000,426611000,970365000,None,-2604590000,134000,133858000,252468000,1147048000,894580000,792326000,-248224000,318210000,182482000,500692000,1251000,-40625000,None,40625000,-16815000,9177000,None,156460000,-278421000,3846000,40625000,-282267000,-265146000,-237796000,-81336000,-282267000,2016-05-04,-0.04,-0.05,0.01,20
2016-06-30,11868952000,5203705000,3246301000,3246301000,1609607000,178594000,4145721000,3993250000,783986000,None,None,None,38300000,None,24525000,169203000,66650000,9311512000,3766404000,1114878000,851684000,626826000,626826000,3765599000,None,1756826000,626826000,1130000000,1858685000,-626826000,612344000,2520294000,None,-2897778000,148000,148015000,274776000,1270017000,995241000,909282000,-238040000,321152000,191664000,512816000,2242000,-46368000,None,46368000,151628000,-7373000,None,183232000,-289539000,3649000,46368000,-293188000,-272560000,-243171000,-59939000,-293188000,2016-08-03,-0.07,-0.04,-0.03,-75
