date,date,value
1970-01-01 00:00:00.000000000,2024-06-01,314.175
1970-01-01 00:00:00.000000001,2024-05-01,314.069
1970-01-01 00:00:00.000000002,2024-04-01,313.548
1970-01-01 00:00:00.000000003,2024-03-01,312.332
1970-01-01 00:00:00.000000004,2024-02-01,310.326
1970-01-01 00:00:00.000000005,2024-01-01,308.417
1970-01-01 00:00:00.000000006,2023-12-01,306.746
1970-01-01 00:00:00.000000007,2023-11-01,307.051
1970-01-01 00:00:00.000000008,2023-10-01,307.671
1970-01-01 00:00:00.000000009,2023-09-01,307.789
1970-01-01 00:00:00.000000010,2023-08-01,307.026
1970-01-01 00:00:00.000000011,2023-07-01,305.691
1970-01-01 00:00:00.000000012,2023-06-01,305.109
1970-01-01 00:00:00.000000013,2023-05-01,304.127
1970-01-01 00:00:00.000000014,2023-04-01,303.363
1970-01-01 00:00:00.000000015,2023-03-01,301.836
1970-01-01 00:00:00.000000016,2023-02-01,300.840
1970-01-01 00:00:00.000000017,2023-01-01,299.170
1970-01-01 00:00:00.000000018,2022-12-01,296.797
1970-01-01 00:00:00.000000019,2022-11-01,297.711
1970-01-01 00:00:00.000000020,2022-10-01,298.012
1970-01-01 00:00:00.000000021,2022-09-01,296.808
1970-01-01 00:00:00.000000022,2022-08-01,296.171
1970-01-01 00:00:00.000000023,2022-07-01,296.276
1970-01-01 00:00:00.000000024,2022-06-01,296.311
1970-01-01 00:00:00.000000025,2022-05-01,292.296
1970-01-01 00:00:00.000000026,2022-04-01,289.109
1970-01-01 00:00:00.000000027,2022-03-01,287.504
1970-01-01 00:00:00.000000028,2022-02-01,283.716
1970-01-01 00:00:00.000000029,2022-01-01,281.148
1970-01-01 00:00:00.000000030,2021-12-01,278.802
1970-01-01 00:00:00.000000031,2021-11-01,277.948
1970-01-01 00:00:00.000000032,2021-10-01,276.589
1970-01-01 00:00:00.000000033,2021-09-01,274.310
1970-01-01 00:00:00.000000034,2021-08-01,273.567
1970-01-01 00:00:00.000000035,2021-07-01,273.003
1970-01-01 00:00:00.000000036,2021-06-01,271.696
1970-01-01 00:00:00.000000037,2021-05-01,269.195
1970-01-01 00:00:00.000000038,2021-04-01,267.054
1970-01-01 00:00:00.000000039,2021-03-01,264.877
1970-01-01 00:00:00.000000040,2021-02-01,263.014
1970-01-01 00:00:00.000000041,2021-01-01,261.582
1970-01-01 00:00:00.000000042,2020-12-01,260.474
1970-01-01 00:00:00.000000043,2020-11-01,260.229
1970-01-01 00:00:00.000000044,2020-10-01,260.388
1970-01-01 00:00:00.000000045,2020-09-01,260.280
1970-01-01 00:00:00.000000046,2020-08-01,259.918
1970-01-01 00:00:00.000000047,2020-07-01,259.101
1970-01-01 00:00:00.000000048,2020-06-01,257.797
1970-01-01 00:00:00.000000049,2020-05-01,256.394
1970-01-01 00:00:00.000000050,2020-04-01,256.389
1970-01-01 00:00:00.000000051,2020-03-01,258.115
1970-01-01 00:00:00.000000052,2020-02-01,258.678
1970-01-01 00:00:00.000000053,2020-01-01,257.971
1970-01-01 00:00:00.000000054,2019-12-01,256.974
1970-01-01 00:00:00.000000055,2019-11-01,257.208
1970-01-01 00:00:00.000000056,2019-10-01,257.346
1970-01-01 00:00:00.000000057,2019-09-01,256.759
1970-01-01 00:00:00.000000058,2019-08-01,256.558
1970-01-01 00:00:00.000000059,2019-07-01,256.571
1970-01-01 00:00:00.000000060,2019-06-01,256.143
1970-01-01 00:00:00.000000061,2019-05-01,256.092
1970-01-01 00:00:00.000000062,2019-04-01,255.548
1970-01-01 00:00:00.000000063,2019-03-01,254.202
1970-01-01 00:00:00.000000064,2019-02-01,252.776
1970-01-01 00:00:00.000000065,2019-01-01,251.712
1970-01-01 00:00:00.000000066,2018-12-01,251.233
1970-01-01 00:00:00.000000067,2018-11-01,252.038
1970-01-01 00:00:00.000000068,2018-10-01,252.885
1970-01-01 00:00:00.000000069,2018-09-01,252.439
1970-01-01 00:00:00.000000070,2018-08-01,252.146
1970-01-01 00:00:00.000000071,2018-07-01,252.006
1970-01-01 00:00:00.000000072,2018-06-01,251.989
1970-01-01 00:00:00.000000073,2018-05-01,251.588
1970-01-01 00:00:00.000000074,2018-04-01,250.546
1970-01-01 00:00:00.000000075,2018-03-01,249.554
1970-01-01 00:00:00.000000076,2018-02-01,248.991
1970-01-01 00:00:00.000000077,2018-01-01,247.867
1970-01-01 00:00:00.000000078,2017-12-01,246.524
1970-01-01 00:00:00.000000079,2017-11-01,246.669
1970-01-01 00:00:00.000000080,2017-10-01,246.663
1970-01-01 00:00:00.000000081,2017-09-01,246.819
1970-01-01 00:00:00.000000082,2017-08-01,245.519
1970-01-01 00:00:00.000000083,2017-07-01,244.786
1970-01-01 00:00:00.000000084,2017-06-01,244.955
1970-01-01 00:00:00.000000085,2017-05-01,244.733
1970-01-01 00:00:00.000000086,2017-04-01,244.524
1970-01-01 00:00:00.000000087,2017-03-01,243.801
1970-01-01 00:00:00.000000088,2017-02-01,243.603
1970-01-01 00:00:00.000000089,2017-01-01,242.839
1970-01-01 00:00:00.000000090,2016-12-01,241.432
1970-01-01 00:00:00.000000091,2016-11-01,241.353
1970-01-01 00:00:00.000000092,2016-10-01,241.729
1970-01-01 00:00:00.000000093,2016-09-01,241.428
1970-01-01 00:00:00.000000094,2016-08-01,240.849
1970-01-01 00:00:00.000000095,2016-07-01,240.628
1970-01-01 00:00:00.000000096,2016-06-01,241.018
1970-01-01 00:00:00.000000097,2016-05-01,240.229
1970-01-01 00:00:00.000000098,2016-04-01,239.261
