date,date,value
1970-01-01 00:00:00.000000000,2024-04-01,68070.0
1970-01-01 00:00:00.000000001,2024-01-01,67672.0
1970-01-01 00:00:00.000000002,2023-10-01,67513.0
1970-01-01 00:00:00.000000003,2023-07-01,67050.0
1970-01-01 00:00:00.000000004,2023-04-01,66357.0
1970-01-01 00:00:00.000000005,2023-01-01,66096.0
1970-01-01 00:00:00.000000006,2022-10-01,65799.0
1970-01-01 00:00:00.000000007,2022-07-01,65469.0
1970-01-01 00:00:00.000000008,2022-04-01,65127.0
1970-01-01 00:00:00.000000009,2022-01-01,65284.0
1970-01-01 00:00:00.000000010,2021-10-01,65648.0
1970-01-01 00:00:00.000000011,2021-07-01,64611.0
1970-01-01 00:00:00.000000012,2021-04-01,64153.0
1970-01-01 00:00:00.000000013,2021-01-01,63224.0
1970-01-01 00:00:00.000000014,2020-10-01,62411.0
1970-01-01 00:00:00.000000015,2020-07-01,61803.0
1970-01-01 00:00:00.000000016,2020-04-01,57383.0
1970-01-01 00:00:00.000000017,2020-01-01,62333.0
1970-01-01 00:00:00.000000018,2019-10-01,63257.0
1970-01-01 00:00:00.000000019,2019-07-01,62945.0
1970-01-01 00:00:00.000000020,2019-04-01,62331.0
1970-01-01 00:00:00.000000021,2019-01-01,61889.0
1970-01-01 00:00:00.000000022,2018-10-01,61619.0
1970-01-01 00:00:00.000000023,2018-07-01,61622.0
1970-01-01 00:00:00.000000024,2018-04-01,61336.0
1970-01-01 00:00:00.000000025,2018-01-01,61093.0
1970-01-01 00:00:00.000000026,2017-10-01,60674.0
1970-01-01 00:00:00.000000027,2017-07-01,60099.0
1970-01-01 00:00:00.000000028,2017-04-01,59736.0
1970-01-01 00:00:00.000000029,2017-01-01,59494.0
1970-01-01 00:00:00.000000030,2016-10-01,59296.0
1970-01-01 00:00:00.000000031,2016-07-01,59084.0
1970-01-01 00:00:00.000000032,2016-04-01,58787.0
1970-01-01 00:00:00.000000033,2016-01-01,58704.0
1970-01-01 00:00:00.000000034,2015-10-01,58470.0
1970-01-01 00:00:00.000000035,2015-07-01,58486.0
1970-01-01 00:00:00.000000036,2015-04-01,58376.0
1970-01-01 00:00:00.000000037,2015-01-01,58121.0
1970-01-01 00:00:00.000000038,2014-10-01,57702.0
1970-01-01 00:00:00.000000039,2014-07-01,57536.0
