date,date,value
1970-01-01 00:00:00.000000000,2024-07-01,4.25
1970-01-01 00:00:00.000000001,2024-06-01,4.31
1970-01-01 00:00:00.000000002,2024-05-01,4.48
1970-01-01 00:00:00.000000003,2024-04-01,4.54
1970-01-01 00:00:00.000000004,2024-03-01,4.21
1970-01-01 00:00:00.000000005,2024-02-01,4.21
1970-01-01 00:00:00.000000006,2024-01-01,4.06
1970-01-01 00:00:00.000000007,2023-12-01,4.02
1970-01-01 00:00:00.000000008,2023-11-01,4.50
1970-01-01 00:00:00.000000009,2023-10-01,4.80
1970-01-01 00:00:00.000000010,2023-09-01,4.38
1970-01-01 00:00:00.000000011,2023-08-01,4.17
1970-01-01 00:00:00.000000012,2023-07-01,3.90
1970-01-01 00:00:00.000000013,2023-06-01,3.75
1970-01-01 00:00:00.000000014,2023-05-01,3.57
1970-01-01 00:00:00.000000015,2023-04-01,3.46
1970-01-01 00:00:00.000000016,2023-03-01,3.66
1970-01-01 00:00:00.000000017,2023-02-01,3.75
1970-01-01 00:00:00.000000018,2023-01-01,3.53
1970-01-01 00:00:00.000000019,2022-12-01,3.62
1970-01-01 00:00:00.000000020,2022-11-01,3.89
1970-01-01 00:00:00.000000021,2022-10-01,3.98
1970-01-01 00:00:00.000000022,2022-09-01,3.52
1970-01-01 00:00:00.000000023,2022-08-01,2.90
1970-01-01 00:00:00.000000024,2022-07-01,2.90
1970-01-01 00:00:00.000000025,2022-06-01,3.14
1970-01-01 00:00:00.000000026,2022-05-01,2.90
1970-01-01 00:00:00.000000027,2022-04-01,2.75
1970-01-01 00:00:00.000000028,2022-03-01,2.13
1970-01-01 00:00:00.000000029,2022-02-01,1.93
1970-01-01 00:00:00.000000030,2022-01-01,1.76
1970-01-01 00:00:00.000000031,2021-12-01,1.47
1970-01-01 00:00:00.000000032,2021-11-01,1.56
1970-01-01 00:00:00.000000033,2021-10-01,1.58
1970-01-01 00:00:00.000000034,2021-09-01,1.37
1970-01-01 00:00:00.000000035,2021-08-01,1.28
1970-01-01 00:00:00.000000036,2021-07-01,1.32
1970-01-01 00:00:00.000000037,2021-06-01,1.52
1970-01-01 00:00:00.000000038,2021-05-01,1.62
1970-01-01 00:00:00.000000039,2021-04-01,1.64
1970-01-01 00:00:00.000000040,2021-03-01,1.61
1970-01-01 00:00:00.000000041,2021-02-01,1.26
1970-01-01 00:00:00.000000042,2021-01-01,1.08
1970-01-01 00:00:00.000000043,2020-12-01,0.93
1970-01-01 00:00:00.000000044,2020-11-01,0.87
1970-01-01 00:00:00.000000045,2020-10-01,0.79
1970-01-01 00:00:00.000000046,2020-09-01,0.68
1970-01-01 00:00:00.000000047,2020-08-01,0.65
1970-01-01 00:00:00.000000048,2020-07-01,0.62
1970-01-01 00:00:00.000000049,2020-06-01,0.73
1970-01-01 00:00:00.000000050,2020-05-01,0.67
1970-01-01 00:00:00.000000051,2020-04-01,0.66
1970-01-01 00:00:00.000000052,2020-03-01,0.87
1970-01-01 00:00:00.000000053,2020-02-01,1.50
1970-01-01 00:00:00.000000054,2020-01-01,1.76
1970-01-01 00:00:00.000000055,2019-12-01,1.86
1970-01-01 00:00:00.000000056,2019-11-01,1.81
1970-01-01 00:00:00.000000057,2019-10-01,1.71
1970-01-01 00:00:00.000000058,2019-09-01,1.70
1970-01-01 00:00:00.000000059,2019-08-01,1.63
1970-01-01 00:00:00.000000060,2019-07-01,2.06
1970-01-01 00:00:00.000000061,2019-06-01,2.07
1970-01-01 00:00:00.000000062,2019-05-01,2.40
1970-01-01 00:00:00.000000063,2019-04-01,2.53
1970-01-01 00:00:00.000000064,2019-03-01,2.57
1970-01-01 00:00:00.000000065,2019-02-01,2.68
1970-01-01 00:00:00.000000066,2019-01-01,2.71
1970-01-01 00:00:00.000000067,2018-12-01,2.83
1970-01-01 00:00:00.000000068,2018-11-01,3.12
1970-01-01 00:00:00.000000069,2018-10-01,3.15
1970-01-01 00:00:00.000000070,2018-09-01,3.00
1970-01-01 00:00:00.000000071,2018-08-01,2.89
1970-01-01 00:00:00.000000072,2018-07-01,2.89
1970-01-01 00:00:00.000000073,2018-06-01,2.91
1970-01-01 00:00:00.000000074,2018-05-01,2.98
1970-01-01 00:00:00.000000075,2018-04-01,2.87
1970-01-01 00:00:00.000000076,2018-03-01,2.84
1970-01-01 00:00:00.000000077,2018-02-01,2.86
1970-01-01 00:00:00.000000078,2018-01-01,2.58
1970-01-01 00:00:00.000000079,2017-12-01,2.40
1970-01-01 00:00:00.000000080,2017-11-01,2.35
1970-01-01 00:00:00.000000081,2017-10-01,2.36
1970-01-01 00:00:00.000000082,2017-09-01,2.20
1970-01-01 00:00:00.000000083,2017-08-01,2.21
1970-01-01 00:00:00.000000084,2017-07-01,2.32
1970-01-01 00:00:00.000000085,2017-06-01,2.19
1970-01-01 00:00:00.000000086,2017-05-01,2.30
1970-01-01 00:00:00.000000087,2017-04-01,2.30
1970-01-01 00:00:00.000000088,2017-03-01,2.48
1970-01-01 00:00:00.000000089,2017-02-01,2.42
1970-01-01 00:00:00.000000090,2017-01-01,2.43
1970-01-01 00:00:00.000000091,2016-12-01,2.49
1970-01-01 00:00:00.000000092,2016-11-01,2.14
1970-01-01 00:00:00.000000093,2016-10-01,1.76
1970-01-01 00:00:00.000000094,2016-09-01,1.63
1970-01-01 00:00:00.000000095,2016-08-01,1.56
1970-01-01 00:00:00.000000096,2016-07-01,1.50
1970-01-01 00:00:00.000000097,2016-06-01,1.64
1970-01-01 00:00:00.000000098,2016-05-01,1.81
1970-01-01 00:00:00.000000099,2016-04-01,1.81
1970-01-01 00:00:00.000000100,2016-03-01,1.89
1970-01-01 00:00:00.000000101,2016-02-01,1.78
1970-01-01 00:00:00.000000102,2016-01-01,2.09
1970-01-01 00:00:00.000000103,2015-12-01,2.24
